[0707/144115.115:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7064001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144115.158:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7064001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144115.167:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7064001be800]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144115.175:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7064001bd000]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/144159.654:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21cc00191c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144159.689:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21cc00190400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144159.698:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21cc00191c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144159.706:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21cc00190400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/144224.209:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6404001c1600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144224.249:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6404001bda00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144224.255:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6404001c1600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144224.261:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x6404001bda00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0707/144245.871:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x52dc00191600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144245.902:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x52dc0018da00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144245.908:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x52dc00191600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0707/144245.916:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x52dc0018da00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
